Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR),UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR),HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR),LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA
7.25,0.49502638,1.3089297,0.06152296,0.41539738,1.0983777,0.058653235,0.32405832,0.85686255,0.042819917,0.49464914,1.3086774,0.34632027,0.4140381,1.0954074,0.25549126,0.3243775,0.8581952,0.20736063,0.49706942,1.3081281,0.12807858,0.41150767,1.0829569,0.101192236,0.32211354,0.8477001,0.06662494
7.5,0.53722984,1.4098366,0.05576086,0.4290287,1.1258875,0.058151305,0.33994943,0.8921194,0.04123169,0.53785783,1.4119215,0.33917904,0.4281396,1.123902,0.2787884,0.34050792,0.89386153,0.2135632,0.5303707,1.395657,0.14422655,0.42248258,1.111752,0.11418033,0.3335185,0.8776454,0.07528138
7.75,0.56465113,1.4721175,0.055288732,0.44254082,1.1537604,0.054670095,0.3616598,0.94289327,0.03750187,0.56475395,1.4729025,0.3635934,0.44176033,1.1521299,0.29512095,0.36213014,0.9444509,0.22366744,0.5687394,1.4887164,0.16923267,0.43860364,1.1480767,0.11924887,0.36253652,0.94896543,0.08173275
8.0,0.44992384,1.1625882,0.049415946,0.42474115,1.097517,0.056850195,0.29677102,0.7668465,0.034944832,0.44977888,1.1624732,0.31923157,0.42373964,1.0951736,0.27958918,0.2973438,0.768498,0.20234174,0.45798105,1.1687595,0.12142664,0.42740345,1.090726,0.10663241,0.29224873,0.74581355,0.061892927
8.25,0.44487956,1.1357999,0.045052588,0.42761263,1.0917165,0.052862465,0.2897675,0.739791,0.032203436,0.44477814,1.1358652,0.30376697,0.42633972,1.0887775,0.27757335,0.29044574,0.7417343,0.20187747,0.45204863,1.1510763,0.11612004,0.42979318,1.094406,0.1109947,0.2833011,0.7213851,0.061059654
8.5,0.44780388,1.1370146,0.03894633,0.43479902,1.1039941,0.04889548,0.30384693,0.77149487,0.030016184,0.44794422,1.1378988,0.27914345,0.43343562,1.101043,0.28772265,0.30417478,0.7726857,0.19575381,0.4459587,1.1397654,0.10743481,0.44025147,1.125179,0.116059065,0.29937193,0.76512414,0.06202084
8.75,0.46630704,1.1823341,0.036897838,0.43067127,1.0919787,0.04412085,0.3363994,0.85294974,0.029501617,0.46643624,1.18325,0.2797591,0.42942104,1.0893502,0.29290855,0.33647683,0.85357046,0.20230901,0.4685068,1.1962789,0.10616481,0.42972767,1.0972608,0.11372745,0.33157372,0.8466358,0.06776106
9.0,0.35891286,0.90862906,0.03149134,0.33651137,0.85191715,0.03343475,0.31634694,0.8008686,0.027747571,0.35923898,0.90985,0.23368251,0.33561546,0.8500183,0.22256297,0.31673446,0.8021982,0.20274997,0.36533228,0.9262377,0.07656926,0.33248255,0.84295285,0.07551831,0.31431767,0.7968989,0.069384396
9.25,0.36031544,0.9101905,0.029533625,0.31988508,0.8080596,0.025644243,0.30951157,0.78185517,0.0264256,0.3608297,0.91179854,0.21710038,0.3191747,0.8065384,0.19822437,0.30989566,0.7830907,0.18727416,0.35993892,0.92242813,0.080893815,0.31485698,0.806895,0.074811995,0.30334622,0.777396,0.06621665
9.5,0.37240452,0.93643737,0.026605904,0.3199398,0.80451113,0.023139834,0.3088891,0.7767234,0.023602724,0.37273693,0.9377554,0.20865816,0.31951037,0.8038446,0.19052589,0.3091808,0.7778568,0.17775184,0.36176866,0.9086807,0.08393741,0.32562274,0.81789035,0.07549298,0.30100152,0.7560474,0.069845855
9.75,0.41689003,1.0420521,0.027115345,0.3254699,0.81353974,0.021652937,0.34312788,0.85767734,0.024017572,0.41691524,1.0425124,0.22147626,0.3251729,0.81310725,0.18435901,0.3434746,0.85887134,0.18453014,0.41421136,1.038842,0.101565,0.3152539,0.7906567,0.06214732,0.34881034,0.87481624,0.08354986
10.0,0.3718558,0.92674375,0.027947664,0.29374754,0.73208135,0.019528925,0.3287953,0.8194279,0.025074363,0.37225962,0.92835045,0.20073587,0.29374245,0.73254234,0.15237975,0.329061,0.8206206,0.17433321,0.37320304,0.9418962,0.07875776,0.29434025,0.742861,0.054207265,0.3249701,0.8201651,0.07994604
10.25,0.4426086,1.1002737,0.03803867,0.31495348,0.7829379,0.022759318,0.33830187,0.8409793,0.02894169,0.44344357,1.1033447,0.25026125,0.3154892,0.78497773,0.14252627,0.3393847,0.84443283,0.17834342,0.4571224,1.1418532,0.09993243,0.30819517,0.7698456,0.05682999,0.3289599,0.82171416,0.07880092
10.5,0.50277036,1.2456495,0.049267113,0.3510278,0.8696964,0.03118229,0.37532815,0.92990226,0.034796596,0.5033459,1.2483517,0.29236883,0.35179558,0.87249064,0.1585908,0.37635088,0.9333904,0.19628608,0.51359624,1.2992576,0.12567276,0.3484506,0.8814845,0.07259858,0.3694341,0.934567,0.08494794
10.75,0.5335573,1.313517,0.054712474,0.38621297,0.9507832,0.039814413,0.42743614,1.0522668,0.041430473,0.53453356,1.3175162,0.3152125,0.3865698,0.9528157,0.18904144,0.4286697,1.0565834,0.21331221,0.5562832,1.4177406,0.15840787,0.38852942,0.9902042,0.09847629,0.4191451,1.0682312,0.10181594
11.0,0.4581923,1.1181747,0.048578084,0.41461924,1.0118388,0.051155806,0.34948716,0.8528902,0.034127414,0.45954087,1.122901,0.27595264,0.41378713,1.0111004,0.2137469,0.3504757,0.85639715,0.1896826,0.46978897,1.1665497,0.10605109,0.4053335,1.006498,0.12742448,0.3393479,0.8426468,0.061475158
11.25,0.47601986,1.1513423,0.05069673,0.4481227,1.0838679,0.057190657,0.36070922,0.8724421,0.035454452,0.4763855,1.1533998,0.28460926,0.4471422,1.0825975,0.2503248,0.36201948,0.87650275,0.19297087,0.47212037,1.1661435,0.1127522,0.45461693,1.1229098,0.14594722,0.36050433,0.8904504,0.06435025
11.5,0.51717246,1.2377648,0.05216384,0.46636528,1.1161665,0.056683123,0.40204835,0.9622348,0.036302567,0.5177418,1.240432,0.31084204,0.4656926,1.1157299,0.2674055,0.40288597,0.9652546,0.20957679,0.5285329,1.2986647,0.1449768,0.46725255,1.1480919,0.15366334,0.39385667,0.96775,0.08798927
11.75,0.56050867,1.3328261,0.050584614,0.46519083,1.1061711,0.05097413,0.4451165,1.0584366,0.038843095,0.5612507,1.3368549,0.33693653,0.46531224,1.1083372,0.26308995,0.44594947,1.0622165,0.2432096,0.57687545,1.3983603,0.17468238,0.45691842,1.1075815,0.17203283,0.42974287,1.0417073,0.1229434
12.0,0.4805487,1.1361192,0.04548621,0.45525822,1.0763272,0.04970795,0.3674001,0.86861193,0.032779813,0.48095533,1.1387262,0.28792727,0.45481747,1.0768414,0.23943865,0.36878985,0.8731594,0.20804971,0.48396283,1.1745882,0.12873816,0.433994,1.0533128,0.15882838,0.34574607,0.83913314,0.07296318
12.25,0.48805398,1.1495585,0.04523301,0.47181132,1.1113007,0.0498237,0.37065265,0.87303233,0.035253108,0.4886439,1.1528258,0.29741937,0.4720555,1.1136899,0.26146686,0.3717984,0.87715983,0.22000182,0.49723828,1.202407,0.14665288,0.45795247,1.1074072,0.1960792,0.36006114,0.8706893,0.094671786
12.5,0.47545102,1.1157895,0.041327417,0.4909352,1.1521279,0.048009813,0.3734808,0.8764856,0.034145415,0.47649214,1.1195104,0.29166692,0.4905397,1.1525149,0.2796026,0.37406677,0.8788637,0.2177214,0.4756069,1.1344438,0.14999872,0.478215,1.1406648,0.2171967,0.3561946,0.849615,0.09724784
12.75,0.463658,1.0850806,0.03919667,0.51055825,1.1948395,0.046791375,0.37840062,0.8855561,0.033102453,0.46428904,1.0874718,0.29365343,0.51023537,1.1950887,0.29443312,0.37874573,0.88710976,0.2285806,0.46138135,1.0924988,0.15890074,0.4995836,1.1829574,0.23588157,0.38135868,0.9030142,0.117027044
13.0,0.4188239,0.97759193,0.035924137,0.47865093,1.1172364,0.04917109,0.3470623,0.8100906,0.029350758,0.41889495,0.9782283,0.28008783,0.47731477,1.1146537,0.28144413,0.3479166,0.81247544,0.20510554,0.42014098,0.97620034,0.12869978,0.49012348,1.1388052,0.20761466,0.34573552,0.80331874,0.09177309
13.25,0.42457083,0.99070007,0.03318703,0.4814628,1.1234527,0.045800865,0.35208696,0.8215651,0.0283975,0.42438993,0.990923,0.2716167,0.48038262,1.1216623,0.29470247,0.3524205,0.822879,0.21283114,0.41254342,0.96557975,0.1227656,0.47498408,1.1117254,0.18737066,0.3385559,0.79240805,0.09180647
